Title,Author,Date,Blog Type,Comments,Likes,Employee Type,Tags,Link
File Upload of Bank Master Data into SAP S/4HANA and SAP S/4HANA Cloud Systems ,Jochen Pfister,"February 16, 2021",Technical Articles,0,1,SAP Employee,"SAP Master Data Governance,SAP S/4HANA,SAP S/4HANA Cloud",https://blogs.sap.com/2021/02/16/file-upload-of-bank-master-data-into-sap-s-4hana-and-sap-s-4hana-cloud-systems/
S/4HANA-Mass Changes to Purchasing Info Records(PIR) using Fiori App ,MOHAN KALIYAMOORTHY,"February 16, 2021",Technical Articles,0,0,N/A,SAP S/4HANA,https://blogs.sap.com/2021/02/16/s-4hana-mass-changes-to-purchasing-info-recordspir-using-fiori-app/
Simple way to generate a pdf of adobe form and save it in local pc in Webdynpro on clicking hyperlink. ,Thammunuri Ramya,"February 16, 2021",Technical Articles,0,0,N/A,ABAP Development,https://blogs.sap.com/2021/02/16/simple-way-to-generate-a-pdf-of-adobe-form-and-save-it-in-local-pc-in-webdynpro-on-clicking-hyperlink./
Extend your LaMa herd to the cloud ,Sebastian Stoschek,"February 16, 2021",Product Information,0,0,SAP Employee,"SAP Landscape Management,Cloud",https://blogs.sap.com/2021/02/16/extend-your-lama-herd-to-the-cloud/
SAP S/4HANA and SAP CX Integration Overview ,Alexander Shipilov,"February 16, 2021",Product Information,0,3,SAP Employee,"SAP S/4HANA,SAP Cloud for Customer integration with SAP S/4HANA,SAP Field Service Management,SAP Marketing Cloud",https://blogs.sap.com/2021/02/16/sap-s-4hana-and-sap-cx-integration-overview/
Using multi model capabilities of SAP HANA in the new ABAP 1909 Developer Edition – Part II – Spatial functions ,Uwe Fetzer,"February 16, 2021",Technical Articles,4,9,N/A,"ABAP Development,SAP HANA,SAP HANA Spatial,SAP NetWeaver Application Server",https://blogs.sap.com/2021/02/16/using-multi-model-capabilities-of-sap-hana-in-the-new-abap-1909-developer-edition-part-ii-spatial-functions/
Approaching Intelligence from a design standpoint ,Alexander Schreiber,"February 16, 2021",User Experience Insights,0,4,SAP Employee,"User Experience,Artificial Intelligence,Design Thinking,Machine Learning,SAP Fiori",https://blogs.sap.com/2021/02/16/approaching-intelligence-from-a-design-standpoint/
Random Day Surprise // You are part of us! (Part 2) ,Lena Stodal,"February 16, 2021",Personal Insights,4,1,SAP Employee,SAP Community,https://blogs.sap.com/2021/02/16/random-day-surprise-you-are-part-of-us-part-2-2/
Random Day Surprise // You are part of us! (Part 1) ,Lena Stodal,"February 16, 2021",Personal Insights,2,7,SAP Employee,SAP Community,https://blogs.sap.com/2021/02/16/random-day-surprise-you-are-part-of-us-part-1-2/
"Save time, gain accuracy, and automate asset retirement obligation accounting with SAP S/4HANA ",Bret Strobo,"February 16, 2021",Product Information,2,3,SAP Employee,SAP S/4HANA Finance,https://blogs.sap.com/2021/02/16/save-time-gain-accuracy-and-automate-asset-retirement-obligation-accounting-with-sap-s-4hana/
8 Steps to influence change on your SAP Business Network project ,Matic Jezersek,"February 16, 2021",Business Trends,0,3,SAP Employee,"SAP digital supplier network membership,Ariba Network",https://blogs.sap.com/2021/02/16/8-steps-to-influence-change-on-your-sap-business-network-project/
Product Content for Discrete Industries in SAP S/4HANA Cloud 2102 ,Markus Florian Oertelt,"February 16, 2021",Product Information,0,3,SAP Employee,"SAP S/4HANA Cloud,SAP S/4HANA",https://blogs.sap.com/2021/02/16/product-content-for-discrete-industries-in-sap-s-4hana-cloud-2102/
How a Passionate Leader Guides Partners to Success ,Nadia Casagrande,"February 16, 2021",Business Trends,0,5,SAP Employee,"Partnership,Ariba Network,SAP Ariba Procurement",https://blogs.sap.com/2021/02/16/how-a-passionate-leader-guides-partners-to-success/
Sourcing & Procurement in SAP S/4HANA Cloud 2102 ,Katharina Doerr,"February 16, 2021",Product Information,1,9,SAP Employee,"SAP S/4HANA Cloud,SAP Ariba Procurement,SAP S/4HANA Cloud for Sourcing and Procurement,SAP S/4HANA for central procurement",https://blogs.sap.com/2021/02/16/sourcing-procurement-in-sap-s-4hana-cloud-2102/
SAP Concur Technologies : Central Reconciliation ,Frank Lin,"February 16, 2021",Product Information,0,0,SAP Employee,SAP Concur Fusion,https://blogs.sap.com/2021/02/16/sap-concur-technologies-central-reconciliation/
Introduction to SAP tools supporting the secure development process with Open Source ,Michael Bernhardt,"February 16, 2021",Business Trends,0,1,SAP Employee,"Open Source,Security",https://blogs.sap.com/2021/02/16/introduction-to-sap-tools-supporting-the-secure-development-process-with-open-source/
Enhance the Styling of your Emails with CSS ,Arne Manthey,"February 16, 2021",Product Information,0,5,SAP Employee,SAP Marketing Cloud,https://blogs.sap.com/2021/02/16/enhance-the-styling-of-your-emails-with-css/
Challenge Submission: Create a Purchase Requisition in SAP Ariba from MS Teams using the SAP CAI ,Lukas Schöneberger,"February 16, 2021",Technical Articles,2,30,N/A,"SAP Conversational AI,SAP Ariba Procurement",https://blogs.sap.com/2021/02/16/challenge-submission-create-a-purchase-requisition-in-sap-ariba-from-ms-teams-using-the-sap-cai/
eSocial: Call técnica para discussão sobre mudanças na gravação de eventos ,Sherazade Shunnaq,"February 16, 2021",Event Information,0,2,SAP Employee,"HCM Payroll Brazil,HCM Payroll",https://blogs.sap.com/2021/02/16/esocial-call-tecnica-para-discussao-sobre-mudancas-na-gravacao-de-eventos/
Easier start with Kyma runtime ,Marco Dorn,"February 16, 2021",Product Information,0,7,SAP Employee,"SAP BTP, Kyma runtime",https://blogs.sap.com/2021/02/16/easier-start-with-kyma-runtime/
Challenge Submission: Quick Baseball Stats ,Daniel Wroblewski,"February 16, 2021",Technical Articles,0,3,SAP Employee,"SAP Conversational AI,Artificial Intelligence,Machine Learning,Sports and Entertainment",https://blogs.sap.com/2021/02/16/challenge-submission-quick-baseball-stats/
Standard export to spreadsheet functionality in PM list transactions ,Gabor Balazs Fazekas,"February 16, 2021",Product Information,3,0,SAP Employee,"PLM Enterprise Asset Management (EAM)/Plant Maintenance (PM),Customer Influence",https://blogs.sap.com/2021/02/16/standard-export-to-spreadsheet-functionality-in-pm-list-transactions/
New display options for classification in equipment and functional locations ,Gabor Balazs Fazekas,"February 16, 2021",Product Information,0,0,SAP Employee,"PLM Enterprise Asset Management (EAM)/Plant Maintenance (PM),Customer Influence",https://blogs.sap.com/2021/02/16/new-display-options-for-classification-in-equipment-and-functional-locations/
"Weekly Mission & Badge Roundup // February 8 – February 14, 2021 ",Lena Stodal,"February 16, 2021",Personal Insights,0,3,SAP Employee,SAP Community,https://blogs.sap.com/2021/02/16/weekly-mission-badge-roundup-february-8-february-14-2021/
Fix Pace (Common Q&A) – 2 ,Irfan ..,"February 16, 2021",Technical Articles,0,1,N/A,"Focused Build for SAP Solution Manager,SAP Solution Manager",https://blogs.sap.com/2021/02/16/fix-pace-common-qa-2/
Extending the reach of SAP Analytics Cloud Data with Microsoft Office front end Webinar Summary ,Tammy Powlas,"February 16, 2021",Product Information,0,0,N/A,"SAP Analytics Cloud, add-in for Microsoft Office,Analytics,SAP Analysis for Microsoft Office,SAP Analytics Cloud,SAP Mentors",https://blogs.sap.com/2021/02/16/extending-the-reach-of-sap-analytics-cloud-data-with-microsoft-office-front-end-webinar-summary/
Extending the reach of SAP Analytics Cloud Data with Microsoft Office front end Webinar Summary ,Tammy Powlas,"February 16, 2021",Product Information,0,0,N/A,"SAP Analytics Cloud, add-in for Microsoft Office,Analytics,SAP Analysis for Microsoft Office,SAP Analytics Cloud,SAP Mentors",https://blogs.sap.com/2021/02/16/extending-the-reach-of-sap-analytics-cloud-data-with-microsoft-office-front-end-webinar-summary/
S/4HANA Pitfalls – Why Data Quality is not for free ,Daniel Hegetschweiler,"February 16, 2021",Personal Insights,0,1,N/A,"SAP S/4HANA,SAP S/4HANA migration cockpit,SAP S/4HANA migration object modeler",https://blogs.sap.com/2021/02/16/s-4hana-pitfalls-why-data-quality-is-not-for-free/
Using multi model capabilities of SAP HANA in the new ABAP 1909 Developer Edition – Part I – Document Store ,Uwe Fetzer,"February 16, 2021",Technical Articles,3,16,N/A,"ABAP Development,ABAP RESTful Programming Model,SAP HANA,SAP NetWeaver Application Server",https://blogs.sap.com/2021/02/16/using-multi-model-capabilities-of-sap-hana-in-the-new-abap-1909-developer-edition-part-i-document-store/
SAP Marketing Cloud – Improvement Requests delivered with our 2102 Release ,Silvia Backes,"February 16, 2021",Product Information,0,3,SAP Employee,"SAP Marketing Cloud,Customer Influence",https://blogs.sap.com/2021/02/16/sap-marketing-cloud-improvement-requests-delivered-with-our-2102-release/
SAP Marketing Cloud February ’21 Release is Here! ,Robin Mak,"February 16, 2021",Product Information,0,3,SAP Employee,SAP Marketing Cloud,https://blogs.sap.com/2021/02/16/sap-marketing-cloud-february-21-release-is-here/
SAP S/4HANA Cash Management – What is new in release 2020 ,Martin Schmidt,"February 16, 2021",Product Information,0,2,SAP Employee,"SAP S/4HANA Finance,FIN Cash Management,SAP S/4HANA",https://blogs.sap.com/2021/02/16/sap-s-4hana-cash-management-what-is-new-in-release-2020/
EducationNewscast: Was sagt der Betriebsrat zu digitalem Lernen im Homeoffice? ,Thomas Jenewein,"February 16, 2021",Business Trends,0,0,SAP Employee,"Training,Future of Work",https://blogs.sap.com/2021/02/16/was-sagt-der-betriebsrat-zu-digitalem-lernen-im-homeoffice-mit-elisabeth-schulze-jagle-und-michael-ehrenberge%e2%80%aar/
Maintenance Order: Cancellation of status ‘Do not Execute’ ,Anika Roeder,"February 16, 2021",Product Information,0,0,SAP Employee,"PLM Enterprise Asset Management (EAM)/Plant Maintenance (PM),Customer Influence",https://blogs.sap.com/2021/02/16/maintenance-order-cancellation-of-status-do-not-execute/
Running ABAP-workshops to help colleagues help themselves ,Bärbel Winkler,"February 16, 2021",Personal Insights,0,5,N/A,"ABAP Development,ABAP Testing and Analysis,SAP Community",https://blogs.sap.com/2021/02/16/running-abap-workshops-to-help-colleagues-help-themselves/
Running some ABAP on a Raspberry Pi Zero ,Lars Hvam,"February 16, 2021",Technical Articles,9,24,N/A,ABAP Development,https://blogs.sap.com/2021/02/16/running-some-abap-on-a-raspberry-pi-zero/
GRC Tuesdays: New Risk Priorities ,Thomas Frenehard,"February 16, 2021",Business Trends,0,1,SAP Employee,"Governance, Risk, Compliance (GRC), and Cybersecurity",https://blogs.sap.com/2021/02/16/grc-tuesdays-new-risk-priorities/
Receiving events from Dynamics 365 CRM using webhooks. ,Peter Ha,"February 16, 2021",Technical Articles,1,2,N/A,"SAP Integration Suite tools,SAP NetWeaver Process Integration, adapters,SAP Process Integration",https://blogs.sap.com/2021/02/16/receiving-events-from-dynamics-365-crm-using-webhooks./
Creating an Administrative User in Sales Performance Home ,Lara Golden,"February 15, 2021",Technical Articles,0,1,SAP Employee,SAP Commissions,https://blogs.sap.com/2021/02/15/creating-an-administrative-user-in-sales-performance-home/
How to access Classification Data in Compensation Rules ,Lara Golden,"February 15, 2021",Technical Articles,0,3,SAP Employee,SAP Commissions,https://blogs.sap.com/2021/02/15/placeholder-how-to-access-classification-data-in-compensation-rules/
Streamline Integration: SAP Ariba Cloud Integration Gateway for Suppliers ,Lorraine Yao,"February 15, 2021",Product Information,0,3,SAP Employee,"Ariba Network,Ariba Cloud Integration",https://blogs.sap.com/2021/02/15/streamline-integration-sap-ariba-cloud-integration-gateway-for-suppliers/
The hidden life of ServiceManager handled containers ,Andrew Lunde,"February 15, 2021",Technical Articles,0,6,SAP Employee,"SAP BTP, Cloud Foundry environment,SAP Cloud Application Programming Model",https://blogs.sap.com/2021/02/15/the-hidden-life-of-servicemanager-handled-containers/
SAP Enterprise Architect’s Coming Together and Learning Together! ,Paul Kurchina,"February 15, 2021",Event Information,1,3,N/A,"SAP S/4HANA,SAP ERP,SAP ERP Central Component,SAP Fiori,SAP Innovation Management",https://blogs.sap.com/2021/02/15/sap-enterprise-architects-coming-together-and-learning-together/
What does DO/ENDDO do? ,Michael Keller,"February 15, 2021",Technical Articles,6,9,N/A,ABAP Development,https://blogs.sap.com/2021/02/15/what-does-do-enddo-do/
Predictive Maintenance: der Weg zum datenorientierten Unternehmen ,Adrian Langlouis,"February 15, 2021",Business Trends,0,1,SAP Employee,"SAP Predictive Asset Insights,Internet of Things,PLM Enterprise Asset Management (EAM)/Plant Maintenance (PM),SAP Asset Strategy and Performance Management,SAP Enhanced Maintenance and Service Planning",https://blogs.sap.com/2021/02/15/predictive-maintenance-der-weg-zum-datenorientierten-unternehmen/
6 reasons why SAP should open-source CAP ,Volker Buzek,"February 15, 2021",Business Trends,1,29,N/A,"SAP Cloud Application Programming Model,Open Source",https://blogs.sap.com/2021/02/15/6-reasons-why-sap-should-open-source-cap/
SAP PI JDBC Proxy Open Source project ,Daniel Graversen,"February 15, 2021",Technical Articles,0,0,N/A,"SAP Process Orchestration,SAP Mentors,SAP Process Integration",https://blogs.sap.com/2021/02/15/sap-pi-jdbc-proxy-open-source-project/
How COVID-19 Has Changed Consumer Behaviors And The Supply Chains That Serve Them ,Oeykue Ilgar,"February 15, 2021",Business Trends,0,1,SAP Employee,"SAP Environment, Health, and Safety Management,SAP Extended Warehouse Management,SAP Integrated Business Planning for Supply Chain,SAP Manufacturing Execution",https://blogs.sap.com/2021/02/15/how-covid-19-has-changed-consumer-behaviors-and-the-supply-chains-that-serve-them/
Vamos falar sobre SAP Intelligent RPA (blog 1 de 3) ,Fausto Motter,"February 15, 2021",Personal Insights,2,6,N/A,SAP Intelligent Robotic Process Automation,https://blogs.sap.com/2021/02/15/vamos-falar-sobre-sap-intelligent-rpa-blog-1-de-3/
Lets talk about SAP Intelligent RPA (blog 1/3) ,Fausto Motter,"February 15, 2021",Personal Insights,5,7,N/A,SAP Intelligent Robotic Process Automation,https://blogs.sap.com/2021/02/15/lets-talk-about-sap-intelligent-rpa-blog-1-3/
When SAP Analytics Cloud tenants on Quarterly Release Cycle (QRC) will be updated in 2021 ,Hanna Mazurkevich,"February 15, 2021",Event Information,2,8,SAP Employee,SAP Analytics Cloud,https://blogs.sap.com/2021/02/15/when-sap-analytics-cloud-tenants-on-quarterly-release-cycle-qrc-will-be-updated-in-2021/
SAP Data Intelligence | How to get headers of CDS view ,Yuliya Reich,"February 15, 2021",Technical Articles,0,4,SAP Employee,"SAP Data Intelligence,SAP S/4HANA",https://blogs.sap.com/2021/02/15/sap-data-intelligence-how-to-get-headers-of-cds-view/
Harness the Agility and Flexibility of a Cloud-Based Master Data Management Solution ,Corrie Brague,"February 15, 2021",Product Information,0,4,SAP Employee,"SAP Master Data Governance,Database and Data Management",https://blogs.sap.com/2021/02/15/harness-the-agility-and-flexibility-of-a-cloud-based-master-data-management-solution/
"SAP Commerce, Financial Services Accelerator supports open source project “Spartacus” ",Stefan Mueller,"February 15, 2021",Product Information,0,2,SAP Employee,"SAP Commerce Cloud,Banking,Cloud,Customer Experience,Insurance",https://blogs.sap.com/2021/02/15/sap-commerce-financial-services-accelerator-supports-open-source-project-spartacus/
Declaring variables in a loop in ABAP: remember that ABAP is not block-scoped! ,Stoyko Stoev,"February 15, 2021",Technical Articles,4,9,N/A,ABAP Development,https://blogs.sap.com/2021/02/15/initializing-variables-in-a-loop-in-abap-do-not-forget-that-abap-is-not-block-scoped/
Employee Central Time-Off : How to solve Mandatory block leave scenario (Blog 2/2) ,Parthiban Sukumar,"February 15, 2021",Technical Articles,0,2,SAP Employee,SAP SuccessFactors Employee Central,https://blogs.sap.com/2021/02/15/employee-central-time-off-how-to-solve-mandatory-block-leave-scenario-blog-2-2/
Employee Central Time-Off : How to solve Mandatory block leave scenario (Blog 1/2) ,Parthiban Sukumar,"February 15, 2021",Technical Articles,2,2,SAP Employee,SAP SuccessFactors Employee Central,https://blogs.sap.com/2021/02/15/employee-central-time-off-how-to-solve-mandatory-block-leave-scenario-blog-1-2/
ADT: Element Info ,Michael Gutfleisch,"February 15, 2021",Technical Articles,6,5,SAP Employee,"ABAP Development,SAP BTP, ABAP environment",https://blogs.sap.com/2021/02/15/adt-element-info/
Complete Guide to Reporting No-Show for New Hires – including Replication to SAP HCM ERP ,Pratik Saha,"February 15, 2021",Technical Articles,3,3,N/A,SAP SuccessFactors Employee Central,https://blogs.sap.com/2021/02/15/complete-guide-to-reporting-no-show-for-new-hires-including-replication-to-sap-hcm-erp/
A Complete Guide Breaking Down the Necessity of a SSL Certificate ,Harsh mistri,"February 15, 2021",Technical Articles,0,1,N/A,"SAP NetWeaver Application Server,Analytics",https://blogs.sap.com/2021/02/15/a-complete-guide-breaking-down-the-necessity-of-a-ssl-certificate/
Warnings while implementing SAP notes ,Koushik Reddy K N,"February 15, 2021",Technical Articles,0,1,N/A,ABAP Development,https://blogs.sap.com/2021/02/15/warnings-while-implementing-sap-notes/
How we started with ABAP OO ,Patrick Van Nierop,"February 15, 2021",Technical Articles,2,11,N/A,ABAP Development,https://blogs.sap.com/2021/02/15/how-we-started-with-abap-oo/
SuccessFactors Fun quick tip: Adding HTML code to your Message Definition and Alerts and reduce end-user frequently ask questions ,Stephanie Bourgault-Mongeau,"February 15, 2021",Technical Articles,0,10,N/A,"SAP SuccessFactors HXM Suite,SAP SuccessFactors HXM Core",https://blogs.sap.com/2021/02/15/successfactors-fun-quick-tip-adding-html-code-to-your-message-definition-and-alerts-and-reduce-end-user-frequently-ask-questions/
SAP AI Business Services Tutorial Navigator Overview ,Hannah Leonie Wendler,"February 15, 2021",Product Information,0,4,SAP Employee,"Artificial Intelligence,Business Entity Recognition,Data Attribute Recommendation,Document Classification,Document Information Extraction",https://blogs.sap.com/2021/02/15/sap-ai-business-services-tutorial-navigator-overview/
Can We Cure Cancer With Disruptive Technologies? ,Oeykue Ilgar,"February 15, 2021",Business Trends,0,0,SAP Employee,SAP HANA,https://blogs.sap.com/2021/02/15/can-we-cure-cancer-with-disruptive-technologies/
"SAP ABAP Platform 1909, Developer Edition: AVAILABLE NOW ",Julie Plummer,"February 15, 2021",Product Information,60,73,SAP Employee,"ABAP Development,ABAP RESTful Programming Model,SAP HANA,SAP NetWeaver Application Server for ABAP",https://blogs.sap.com/2021/02/15/sap-abap-platform-1909-developer-edition-available-soon/
SAP TechEd Expert Q&A for SAP Community: Suite Qualities – Key Ingredients for an Integrated Intelligent Enterprise ,Carsten Puschke,"February 15, 2021",Event Information,0,0,SAP Employee,"SAP Business Technology Platform,SAP S/4HANA Cloud",https://blogs.sap.com/2021/02/15/sap-teched-expert-qa-for-sap-community-suite-qualities-key-ingredients-for-an-integrated-intelligent-enterprise/
World of Customer Experience – Thought Leadership ,SVEN FEURER,"February 15, 2021",Business Trends,0,0,SAP Employee,"SAP Commerce Cloud,Customer Experience,SAP Cloud for Customer add-ins,SAP Customer Data Cloud,SAP Marketing Cloud",https://blogs.sap.com/2021/02/15/world-of-customer-experience-thought-leadership/
World of Customer Experience – Analysts ,SVEN FEURER,"February 15, 2021",Product Information,0,1,SAP Employee,"SAP Commerce Cloud,Customer Experience,SAP Customer Data Cloud,SAP Marketing Cloud,SAP Sales Cloud",https://blogs.sap.com/2021/02/15/world-of-customer-experience-analysts/
SAP Customer Checkout 2.0 Feature Pack 11 Now Available ,Elena Vavitsa,"February 15, 2021",Product Information,2,5,SAP Employee,SAP Customer Checkout,https://blogs.sap.com/2021/02/15/sap-customer-checkout-2.0-feature-pack-11-now-available/
World of Customer Experience – Webcasts ,SVEN FEURER,"February 15, 2021",Event Information,0,1,SAP Employee,"SAP Commerce Cloud,Customer Experience,SAP Customer Data Cloud,SAP Marketing Cloud,SAP Sales Cloud",https://blogs.sap.com/2021/02/15/world-of-customer-experience-webcasts/
World of Customer Experience – Webcasts 2020 ,SVEN FEURER,"February 15, 2021",Event Information,0,2,SAP Employee,"SAP Commerce Cloud,Customer Experience,SAP Customer Data Cloud,SAP Marketing Cloud,SAP Sales Cloud",https://blogs.sap.com/2021/02/15/world-of-customer-experience-webcasts-2020/
Configure SAP Enterprise Messaging for SAP S/4HANA On-Premise 2020 via Service Key ,Syed Ejazuddin,"February 15, 2021",Technical Articles,1,6,SAP Employee,"SAP Enterprise Messaging,SAP Cloud Platform",https://blogs.sap.com/2021/02/15/configure-sap-enterprise-messaging-for-sap-s-4-hana-on-premise-2020-via-service-key/
World of SAP Customer Experience ,SVEN FEURER,"February 15, 2021",Product Information,0,5,SAP Employee,"SAP Commerce Cloud,Customer Experience,SAP Customer Data Cloud,SAP Customer Identity,SAP Marketing Cloud",https://blogs.sap.com/2021/02/15/world-of-sap-customer-experience/
SAP Early Watch Alert Workspace – Overview Session #SAP User Group Summary ,Tammy Powlas,"February 15, 2021",Product Information,1,2,N/A,"SAP Mentors,Support Services",https://blogs.sap.com/2021/02/15/sap-early-watch-alert-workspace-overview-session-sap-user-group-summary/
